timestamp,iso,validator1,validator2,validator3,validator4
1785794810,2026-08-03T22:06:50+00:00,585695232,742920192,525447168,536002560
1785794840,2026-08-03T22:07:20+00:00,588156928,744955904,543010816,531722240
1785794870,2026-08-03T22:07:50+00:00,571768832,744955904,543666176,516956160
1785794900,2026-08-03T22:08:20+00:00,583020544,744759296,526819328,530403328
1785794930,2026-08-03T22:08:50+00:00,554946560,722636800,543596544,505110528
1785794960,2026-08-03T22:09:20+00:00,573427712,723292160,529543168,520425472
1785794990,2026-08-03T22:09:50+00:00,555888640,722546688,515026944,500658176
1785795020,2026-08-03T22:10:20+00:00,572895232,722546688,529137664,507199488
1785795050,2026-08-03T22:10:50+00:00,536662016,723267584,529793024,533413888
1785795080,2026-08-03T22:11:20+00:00,556048384,723791872,510513152,534323200
1785795110,2026-08-03T22:11:50+00:00,546611200,723165184,524713984,533716992
1785795140,2026-08-03T22:12:20+00:00,563126272,722853888,506937344,477487104
1785795170,2026-08-03T22:12:50+00:00,547844096,722923520,518647808,489807872
1785795200,2026-08-03T22:13:20+00:00,565542912,723542016,520249344,472616960
1785795230,2026-08-03T22:13:50+00:00,548765696,723329024,507527168,472072192
1785795260,2026-08-03T22:14:20+00:00,564879360,722845696,521822208,492933120
1785795290,2026-08-03T22:14:50+00:00,548265984,723103744,542724096,492396544
1785795320,2026-08-03T22:15:20+00:00,565182464,723496960,501665792,473673728
1785795350,2026-08-03T22:15:50+00:00,550789120,723210240,515059712,484155392
1785795380,2026-08-03T22:16:20+00:00,565862400,723210240,513761280,485990400
1785795410,2026-08-03T22:16:50+00:00,549642240,723025920,514023424,486383616
1785795440,2026-08-03T22:17:20+00:00,562233344,723550208,501276672,487948288
1785795470,2026-08-03T22:17:50+00:00,545869824,723521536,491585536,481849344
1785795500,2026-08-03T22:18:20+00:00,576380928,741441536,491716608,482344960
1785795530,2026-08-03T22:18:50+00:00,560394240,741466112,502857728,488898560
1785795560,2026-08-03T22:19:20+00:00,577409024,741597184,497704960,490778624
1785795590,2026-08-03T22:19:50+00:00,558383104,741588992,496021504,490582016
1785795620,2026-08-03T22:20:20+00:00,573411328,741404672,498876416,490803200
1785795650,2026-08-03T22:20:50+00:00,568823808,741269504,499400704,490897408
1785795680,2026-08-03T22:21:20+00:00,573411328,741269504,499662848,491552768
1785795710,2026-08-03T22:21:50+00:00,539226112,742232064,499924992,491683840
1785795740,2026-08-03T22:22:20+00:00,566820864,742363136,501506048,492474368
1785795770,2026-08-03T22:22:50+00:00,537817088,745738240,505810944,500359168
1785795800,2026-08-03T22:23:20+00:00,548261888,745582592,505802752,500019200
1785795830,2026-08-03T22:23:50+00:00,532402176,746205184,506064896,499826688
1785795860,2026-08-03T22:24:20+00:00,553115648,746467328,507506688,501661696
1785795890,2026-08-03T22:24:50+00:00,536502272,745852928,507199488,492781568
1785795920,2026-08-03T22:25:20+00:00,545214464,745984000,499576832,492720128
1785795950,2026-08-03T22:25:50+00:00,528973824,746610688,500887552,495562752
1785795980,2026-08-03T22:26:20+00:00,547987456,746868736,516866048,496295936
1785796010,2026-08-03T22:26:50+00:00,530001920,746803200,517357568,496427008
1785796040,2026-08-03T22:27:20+00:00,546349056,746803200,516997120,495435776
1785796070,2026-08-03T22:27:50+00:00,530321408,747061248,517259264,495828992
1785796100,2026-08-03T22:28:20+00:00,551161856,747061248,518057984,497025024
1785796130,2026-08-03T22:28:50+00:00,534597632,746733568,518057984,497115136
1785796160,2026-08-03T22:29:20+00:00,550723584,745938944,518008832,497078272
1785796190,2026-08-03T22:29:50+00:00,537337856,747249664,518533120,497471488
1785796220,2026-08-03T22:30:20+00:00,548864000,747249664,504311808,499597312
1785796250,2026-08-03T22:30:50+00:00,556654592,747245568,523284480,497991680
1785796280,2026-08-03T22:31:20+00:00,571334656,747245568,523677696,498290688
1785796310,2026-08-03T22:31:50+00:00,558186496,747585536,500666368,498683904
1785796340,2026-08-03T22:32:20+00:00,553136128,747536384,516919296,501919744
1785796370,2026-08-03T22:32:50+00:00,546045952,747257856,494592000,501641216
1785796400,2026-08-03T22:33:20+00:00,554115072,736202752,505470976,495251456
1785796430,2026-08-03T22:33:50+00:00,554250240,736858112,514777088,495603712
1785796460,2026-08-03T22:34:20+00:00,537808896,736858112,498421760,494088192
1785796490,2026-08-03T22:34:50+00:00,556019712,736530432,514936832,494243840
1785796520,2026-08-03T22:35:20+00:00,560959488,736530432,515346432,493219840
1785796550,2026-08-03T22:35:50+00:00,543260672,740003840,498991104,492748800
1785796580,2026-08-03T22:36:20+00:00,554000384,740003840,514887680,494518272
1785796610,2026-08-03T22:36:50+00:00,553791488,736325632,514445312,494391296
1785796640,2026-08-03T22:37:20+00:00,554577920,736587776,499208192,495132672
1785796670,2026-08-03T22:37:50+00:00,554610688,737144832,513626112,493965312
1785796700,2026-08-03T22:38:20+00:00,540192768,737521664,521805824,497168384
1785796730,2026-08-03T22:38:50+00:00,555864064,737484800,507449344,497123328
1785796760,2026-08-03T22:39:20+00:00,539877376,724557824,529461248,496513024
1785796790,2026-08-03T22:39:50+00:00,555941888,725327872,526221312,496967680
1785796820,2026-08-03T22:40:20+00:00,539623424,725458944,508370944,499220480
1785796850,2026-08-03T22:40:50+00:00,556400640,725458944,520835072,499060736
1785796880,2026-08-03T22:41:20+00:00,539729920,725430272,503799808,499191808
1785796910,2026-08-03T22:41:50+00:00,556507136,725725184,508489728,499847168
1785796940,2026-08-03T22:42:20+00:00,543621120,725987328,521596928,503283712
1785796970,2026-08-03T22:42:50+00:00,556187648,725778432,505544704,503545856
1785797000,2026-08-03T22:43:20+00:00,542097408,725909504,521621504,503476224
1785797030,2026-08-03T22:43:50+00:00,557301760,725909504,521883648,503529472
1785797060,2026-08-03T22:44:20+00:00,547782656,727613440,508096512,506634240
1785797090,2026-08-03T22:44:50+00:00,563249152,730165248,525004800,506765312
1785797120,2026-08-03T22:45:20+00:00,549072896,729989120,526315520,507994112
1785797150,2026-08-03T22:45:50+00:00,564015104,729841664,511455232,508243968
1785797180,2026-08-03T22:46:20+00:00,548171776,723619840,526659584,507248640
1785797210,2026-08-03T22:46:50+00:00,563507200,726142976,526807040,502251520
1785797240,2026-08-03T22:47:20+00:00,548618240,724631552,512753664,520765440
1785797270,2026-08-03T22:47:50+00:00,563552256,723759104,527253504,520638464
1785797300,2026-08-03T22:48:20+00:00,549134336,723464192,510771200,519024640
1785797330,2026-08-03T22:48:50+00:00,574902272,723324928,520417280,511647744
1785797360,2026-08-03T22:49:20+00:00,557424640,723025920,532869120,514760704
1785797390,2026-08-03T22:49:50+00:00,570642432,741920768,515420160,526295040
1785797420,2026-08-03T22:50:20+00:00,555511808,741265408,527527936,492638208
1785797450,2026-08-03T22:50:50+00:00,570781696,743612416,519577600,495091712
1785797480,2026-08-03T22:51:20+00:00,556806144,740286464,504504320,509775872
1785797510,2026-08-03T22:51:50+00:00,558764032,739717120,522100736,492707840
1785797540,2026-08-03T22:52:20+00:00,552775680,739717120,523149312,496099328
1785797570,2026-08-03T22:52:50+00:00,570613760,740503552,510263296,498651136
